BGPG_1_c0_g1	AT2G03760.1
BGPG_10215_c0_g1	AT2G35060.2
BGPG_10216_c0_g2	AT5G66570.1
BGPG_10217_c0_g1	AT5G25190.1
BGPG_10218_c0_g1	AT5G50760.1
BGPG_10219_c0_g2	AT2G35790.1
BGPG_10227_c0_g1	AT3G54900.1
BGPG_10227_c0_g2	AT3G54900.1
BGPG_10231_c0_g1	AT1G77405.1
BGPG_10237_c0_g1	AT5G41350.3
BGPG_1024_c0_g2	AT3G22370.1
BGPG_10240_c0_g2	AT2G33730.1
BGPG_10242_c0_g1	AT5G67230.1
BGPG_10242_c0_g2	AT5G67230.1
BGPG_10244_c0_g2	AT2G01810.1
BGPG_10245_c0_g1	AT5G45500.3
BGPG_10246_c0_g3	AT5G22060.1
BGPG_10247_c0_g1	AT5G48390.1
BGPG_10250_c0_g1	AT5G20260.3
BGPG_10251_c0_g2	AT1G16930.3
BGPG_10252_c0_g1	AT1G02400.1
BGPG_10252_c0_g2	AT1G02400.2
BGPG_10255_c0_g1	AT2G16060.1
BGPG_10257_c0_g1	AT5G51100.6
BGPG_10261_c0_g2	AT5G26340.1
BGPG_10271_c0_g2	AT5G03170.1
BGPG_10278_c0_g1	AT3G16830.1
BGPG_10278_c0_g2	AT5G27030.1
BGPG_10280_c0_g1	AT1G01690.3
BGPG_10283_c0_g1	AT1G47670.1
BGPG_10284_c0_g1	AT1G08290.1
BGPG_10284_c0_g2	AT1G08290.1
BGPG_10290_c0_g1	AT5G62190.1
BGPG_103_c0_g1	AT3G50150.1
BGPG_10303_c0_g1	AT5G65600.1
BGPG_10304_c0_g1	AT1G69010.1
BGPG_1031_c0_g1	AT5G13180.1
BGPG_10311_c0_g1	AT3G17070.2
BGPG_10316_c0_g2	AT3G59400.1
BGPG_10317_c0_g1	AT3G48050.2
BGPG_10328_c0_g1	AT5G13440.1
BGPG_10332_c0_g1	AT1G17180.1
BGPG_10333_c1_g3	AT5G57330.1
BGPG_10336_c0_g1	AT1G02070.1
BGPG_10342_c0_g2	AT1G14020.1
BGPG_10350_c0_g2	AT5G59990.1
BGPG_10356_c0_g2	AT5G58580.1
BGPG_10357_c0_g1	AT1G18740.1
BGPG_10359_c0_g1	AT3G43400.1
BGPG_10361_c1_g1	AT4G32250.3
BGPG_10365_c0_g1	AT3G02350.1
BGPG_1037_c0_g2	AT3G21510.1
BGPG_10371_c0_g1	AT4G13650.1
BGPG_10377_c0_g1	AT3G23920.1
BGPG_10380_c0_g1	AT5G61680.1
BGPG_10381_c0_g1	AT3G18950.1
BGPG_10384_c0_g1	AT3G20300.1
BGPG_10387_c0_g1	AT3G14460.1
BGPG_10390_c0_g1	AT2G37230.1
BGPG_10393_c0_g1	AT5G07900.1
BGPG_10397_c0_g1	AT1G74055.1
BGPG_10399_c0_g1	AT1G61340.2
BGPG_10399_c0_g2	AT1G61340.2
BGPG_10403_c0_g1	AT3G25620.1
BGPG_10406_c0_g1	AT5G41270.1
BGPG_10406_c0_g2	AT5G41270.1
BGPG_10407_c0_g1	AT1G09680.1
BGPG_10409_c0_g2	AT3G02760.2
BGPG_10410_c0_g1	AT1G22450.1
BGPG_10411_c0_g1	AT3G03280.1
BGPG_10411_c0_g2	AT3G03280.1
BGPG_10412_c0_g1	AT1G31460.1
BGPG_10415_c0_g1	AT1G71850.1
BGPG_10417_c1_g1	AT5G64970.1
BGPG_10418_c0_g1	AT3G19380.1
BGPG_10422_c0_g1	AT1G62310.1
BGPG_10424_c0_g1	AT4G39480.1
BGPG_10431_c0_g1	AT5G59100.1
BGPG_10433_c0_g1	AT4G21070.1
BGPG_10435_c0_g1	AT1G31970.1
BGPG_10435_c1_g1	AT3G14280.1
BGPG_10437_c0_g1	AT5G53190.1
BGPG_10438_c0_g1	AT3G15130.1
BGPG_10439_c0_g1	AT1G54790.3
BGPG_10440_c0_g1	AT2G37900.1
BGPG_10442_c0_g1	AT2G16400.1
BGPG_10444_c0_g1	AT3G02420.1
BGPG_10446_c0_g1	AT3G52630.2
BGPG_10447_c0_g3	AT4G29080.1
BGPG_10450_c0_g2	AT1G12030.1
BGPG_10456_c0_g2	AT5G37820.1
BGPG_10457_c0_g1	AT1G44575.3
BGPG_10459_c0_g1	AT1G78020.1
BGPG_10459_c1_g1	AT5G66520.1
BGPG_10462_c0_g1	AT3G20830.1
BGPG_10467_c0_g1	AT5G62420.1
BGPG_10468_c0_g3	AT4G27280.1
BGPG_10469_c0_g1	AT2G23770.1
BGPG_10475_c0_g1	AT1G73370.3
BGPG_10475_c0_g2	AT5G37180.1
BGPG_10476_c0_g1	AT1G06450.1
BGPG_10477_c0_g1	AT5G12080.3
BGPG_10479_c0_g1	AT4G33495.1
BGPG_10479_c0_g2	AT4G33495.1
BGPG_10479_c0_g3	AT4G33495.1
BGPG_10481_c0_g2	AT1G03180.2
BGPG_10486_c0_g1	AT5G03970.2
BGPG_10488_c0_g1	AT5G26240.2
BGPG_10491_c0_g1	AT5G33320.1
BGPG_10491_c0_g2	AT5G33320.1
BGPG_10492_c0_g1	AT5G63540.1
BGPG_10496_c0_g1	AT1G09080.2
BGPG_10499_c0_g1	AT4G22340.2
BGPG_10500_c0_g1	AT2G43800.1
BGPG_10502_c0_g1	AT5G66600.6
BGPG_10503_c0_g1	AT2G41900.1
BGPG_10503_c0_g2	AT2G41900.1
BGPG_10505_c0_g1	AT4G33565.1
BGPG_10506_c0_g1	AT2G38290.1
BGPG_10509_c0_g1	AT4G00165.2
BGPG_10515_c0_g2	AT4G28230.1
BGPG_10524_c0_g2	AT5G28150.1
BGPG_10526_c0_g2	AT1G08460.1
BGPG_10527_c1_g1	AT4G15890.1
BGPG_10528_c0_g1	AT1G79620.5
BGPG_10528_c1_g1	AT1G79620.5
BGPG_10531_c0_g1	AT2G38560.1
BGPG_10531_c1_g1	AT2G38560.1
BGPG_10532_c0_g1	AT1G16790.1
BGPG_10538_c0_g1	AT1G55265.1
BGPG_10539_c1_g1	AT1G22240.1
BGPG_10540_c0_g1	AT2G42740.1
BGPG_10541_c0_g1	AT1G19485.2
BGPG_10541_c0_g2	AT1G19485.2
BGPG_10545_c0_g1	AT2G30490.1
BGPG_10548_c0_g2	AT5G04110.3
BGPG_10549_c0_g1	AT2G22720.2
BGPG_10557_c0_g2	AT3G16200.1
BGPG_10559_c0_g1	AT1G28440.1
BGPG_10562_c0_g1	AT2G04280.1
BGPG_10565_c0_g2	AT3G52110.4
BGPG_10566_c0_g1	AT2G13690.1
BGPG_10568_c0_g2	AT5G07475.1
BGPG_10570_c0_g2	AT4G35600.1
BGPG_10572_c1_g1	AT5G41590.1
BGPG_10573_c0_g1	AT5G62840.1
BGPG_10576_c0_g1	AT4G12610.1
BGPG_10578_c0_g1	AT1G57820.3
BGPG_10584_c0_g1	AT4G18220.1
BGPG_10588_c0_g1	AT1G61170.1
BGPG_1059_c0_g1	AT5G57150.1
BGPG_10593_c0_g1	AT3G27880.1
BGPG_10598_c0_g1	AT5G47960.1
BGPG_106_c0_g2	AT5G15430.2
BGPG_106_c0_g3	AT5G15430.2
BGPG_10601_c0_g1	AT1G55160.2
BGPG_10602_c0_g1	AT3G09520.1
BGPG_10602_c1_g1	AT3G09520.1
BGPG_10605_c0_g1	AT2G44360.1
BGPG_10606_c0_g1	AT5G51910.2
BGPG_10609_c0_g1	AT5G59810.1
BGPG_10611_c0_g2	AT2G45310.1
BGPG_10612_c0_g1	AT1G30690.2
BGPG_10614_c0_g1	AT1G68990.2
BGPG_10617_c0_g1	AT3G03750.2
BGPG_10620_c0_g1	AT5G47390.1
BGPG_10623_c0_g2	AT1G13890.2
BGPG_10626_c0_g1	AT5G15630.1
BGPG_10629_c0_g1	AT4G20780.1
BGPG_10635_c0_g2	AT1G52140.1
BGPG_10641_c0_g1	AT1G03940.1
BGPG_10642_c0_g2	AT1G76430.1
BGPG_10645_c0_g1	AT5G51890.1
BGPG_10648_c0_g1	AT3G20280.4
BGPG_10650_c0_g1	AT1G18680.1
BGPG_10650_c0_g2	AT1G18680.1
BGPG_10652_c0_g2	AT2G42820.1
BGPG_10653_c0_g1	AT5G07900.1
BGPG_10655_c0_g1	AT5G50090.2
BGPG_10660_c0_g1	AT5G19510.1
BGPG_10660_c0_g2	AT5G12110.1
BGPG_10662_c0_g1	AT3G60410.3
BGPG_10668_c0_g1	AT2G38440.1
BGPG_10669_c0_g1	AT4G17350.1
BGPG_1067_c0_g1	AT3G19200.1
BGPG_10672_c0_g1	AT4G04770.1
BGPG_10674_c0_g2	AT5G65210.6
BGPG_10675_c0_g1	AT4G10840.1
BGPG_10682_c0_g1	AT4G34131.1
BGPG_10683_c0_g1	AT3G28480.1
BGPG_10691_c0_g2	AT1G25320.1
BGPG_10696_c0_g1	AT1G68170.2
BGPG_10701_c0_g1	AT1G70770.2
BGPG_10707_c0_g1	AT1G49000.1
BGPG_10715_c0_g1	AT5G40240.3
BGPG_10715_c0_g2	AT5G40240.3
BGPG_10717_c0_g1	AT5G48930.1
BGPG_10719_c0_g2	AT2G33793.2
BGPG_10731_c0_g1	AT5G05280.1
BGPG_10732_c0_g1	AT5G23950.1
BGPG_10735_c0_g1	AT1G67850.4
BGPG_10736_c0_g2	AT5G64270.1
BGPG_10738_c0_g1	AT5G47920.1
BGPG_10739_c0_g1	AT2G38870.1
BGPG_10740_c0_g1	AT2G02080.5
BGPG_10747_c0_g2	AT5G05140.1
BGPG_1075_c0_g1	AT2G18910.1
BGPG_10754_c0_g2	AT4G12850.1
BGPG_1076_c0_g1	AT5G03860.2
BGPG_10761_c0_g1	AT5G02540.1
BGPG_10765_c0_g2	AT3G51880.4
BGPG_10766_c0_g1	AT2G46370.4
BGPG_10767_c0_g1	AT4G25390.2
BGPG_10782_c0_g1	AT5G61850.1
BGPG_10783_c0_g1	AT1G03510.1
BGPG_10784_c0_g1	AT3G28050.1
BGPG_10786_c0_g1	AT1G15520.2
BGPG_10791_c0_g2	AT4G17895.1
BGPG_10792_c0_g1	AT1G03780.1
BGPG_10799_c0_g1	AT5G17680.2
BGPG_108_c0_g1	AT1G54580.1
BGPG_10817_c0_g1	AT2G11890.1
BGPG_10820_c0_g1	AT2G19130.1
BGPG_10820_c0_g2	AT2G19130.1
BGPG_10822_c0_g1	AT3G54020.1
BGPG_10827_c0_g2	AT5G44680.1
BGPG_10832_c0_g3	AT1G72220.1
BGPG_10839_c0_g1	AT1G29630.2
BGPG_10853_c0_g1	AT4G17230.2
BGPG_10862_c0_g2	AT5G08415.1
BGPG_10870_c0_g2	AT1G16290.2
BGPG_10871_c0_g1	AT1G77660.1
BGPG_10872_c0_g1	AT4G20430.3
BGPG_10875_c0_g1	AT4G34215.2
BGPG_10876_c0_g1	AT4G21760.2
BGPG_10876_c0_g2	AT4G21760.2
BGPG_10877_c0_g1	AT3G05200.1
BGPG_10878_c0_g1	AT5G08560.3
BGPG_10878_c0_g2	AT5G08560.3
BGPG_10878_c0_g3	AT5G08560.3
BGPG_10880_c0_g1	AT1G08530.1
BGPG_10880_c0_g2	AT1G08530.1
BGPG_10881_c0_g2	AT1G76980.1
BGPG_10884_c0_g1	AT3G26350.2
BGPG_1089_c0_g1	AT5G47470.1
BGPG_10891_c0_g3	AT1G71930.2
BGPG_10892_c1_g1	AT5G27220.3
BGPG_10893_c0_g1	AT1G49960.1
BGPG_10894_c0_g1	AT5G59600.1
BGPG_10895_c0_g2	AT2G38620.3
BGPG_10898_c0_g1	AT1G79750.1
BGPG_10899_c0_g1	AT1G09795.1
BGPG_10903_c0_g2	AT1G01820.1
BGPG_10904_c0_g2	AT3G26935.1
BGPG_1091_c0_g2	AT1G64660.1
BGPG_10930_c0_g1	AT2G44940.1
BGPG_10935_c0_g1	AT3G12120.2
BGPG_10938_c0_g1	AT5G59810.1
BGPG_10939_c0_g1	AT5G03570.2
BGPG_10941_c0_g1	AT2G04160.1
BGPG_10944_c0_g1	AT5G42560.3
BGPG_10946_c0_g1	AT3G20260.1
BGPG_10949_c0_g1	AT1G62870.1
BGPG_10955_c0_g1	AT3G04530.1
BGPG_10956_c0_g1	AT4G39670.1
BGPG_10957_c0_g1	AT5G11440.2
BGPG_10958_c0_g1	AT1G05150.1
BGPG_10966_c0_g1	AT5G64660.1
BGPG_10967_c0_g1	AT1G60030.1
BGPG_10968_c0_g1	AT1G59124.2
BGPG_10969_c0_g1	AT2G03800.2
BGPG_10973_c0_g2	AT2G18910.1
BGPG_10975_c1_g1	AT3G17790.1
BGPG_10976_c2_g1	AT2G35200.1
BGPG_10977_c0_g1	AT1G14860.1
BGPG_10977_c0_g2	AT1G73540.1
BGPG_10979_c0_g1	AT1G45130.1
BGPG_10982_c0_g2	AT1G13260.1
BGPG_10985_c0_g1	AT3G16640.1
BGPG_10988_c0_g1	AT2G42360.1
BGPG_10991_c0_g1	AT2G21050.1
BGPG_10992_c0_g5	AT5G35170.1
BGPG_10997_c0_g2	AT2G17950.1
BGPG_11000_c0_g1	AT2G45760.1
BGPG_11001_c0_g1	AT2G39050.1
BGPG_11001_c0_g2	AT2G39050.1
BGPG_11005_c0_g1	AT3G14460.1
BGPG_11009_c0_g1	AT5G04990.1
BGPG_11018_c0_g1	AT1G13440.2
BGPG_11019_c0_g2	AT1G09700.2
BGPG_11039_c0_g2	AT4G13940.2
BGPG_1105_c0_g1	AT3G11210.1
BGPG_11053_c0_g2	AT3G01680.1
BGPG_11055_c0_g1	AT5G20230.1
BGPG_11057_c0_g2	AT5G19280.1
BGPG_11061_c0_g1	AT4G14960.1
BGPG_11062_c0_g1	AT3G25510.1
BGPG_11075_c0_g1	AT5G17390.1
BGPG_11080_c0_g2	AT3G17970.2
BGPG_11102_c0_g1	AT1G54400.1
BGPG_11104_c0_g1	AT2G38360.1
BGPG_11105_c0_g2	ATCG01280.1
BGPG_11111_c0_g1	AT2G29660.1
BGPG_11114_c0_g1	AT1G68390.1
BGPG_11115_c0_g2	AT1G18610.2
BGPG_11120_c0_g1	AT5G61170.1
BGPG_11122_c0_g1	AT2G31490.1
BGPG_11122_c0_g3	AT2G31490.1
BGPG_11124_c0_g1	AT1G56140.1
BGPG_11126_c0_g2	AT1G73120.1
BGPG_11129_c0_g1	AT3G56710.2
BGPG_11142_c0_g1	AT1G51405.1
BGPG_11146_c0_g1	AT3G07390.1
BGPG_11147_c0_g1	AT1G13440.1
BGPG_11149_c0_g1	AT3G24030.1
BGPG_11151_c0_g1	AT5G66100.1
BGPG_11154_c0_g1	AT1G23820.1
BGPG_11155_c0_g1	AT3G47700.1
BGPG_11156_c0_g1	AT2G20140.1
BGPG_11164_c0_g1	AT3G51950.4
BGPG_11166_c0_g1	AT5G50680.2
BGPG_11167_c0_g1	AT5G13000.1
BGPG_11167_c0_g2	AT5G13000.1
BGPG_11170_c0_g1	AT3G27870.3
BGPG_11172_c0_g1	AT3G26750.1
BGPG_11179_c0_g1	AT5G24020.1
BGPG_11183_c0_g1	AT2G13620.1
BGPG_11183_c0_g2	AT2G13620.1
BGPG_11190_c0_g1	AT5G55540.1
BGPG_11191_c0_g2	AT3G62420.1
BGPG_11194_c0_g1	AT4G31430.3
BGPG_11198_c0_g1	AT3G47840.1
BGPG_112_c0_g1	AT5G25610.1
BGPG_11200_c0_g1	AT3G18290.1
BGPG_11201_c0_g1	AT3G07360.9
BGPG_11203_c0_g2	AT5G49290.7
BGPG_11204_c0_g1	AT4G30230.1
BGPG_11205_c0_g1	AT3G07870.1
BGPG_11206_c0_g1	AT1G30135.1
BGPG_11207_c0_g1	AT1G43160.1
BGPG_11214_c0_g1	AT1G02180.1
BGPG_11218_c0_g1	AT2G03060.6
BGPG_11220_c1_g1	AT5G19790.1
BGPG_11221_c0_g3	AT5G10980.1
BGPG_11229_c0_g1	AT5G37550.1
BGPG_1123_c0_g1	AT3G17210.2
BGPG_11235_c0_g1	AT3G48610.1
BGPG_11237_c0_g1	AT3G19680.1
BGPG_11241_c0_g1	AT2G14050.1
BGPG_11242_c0_g1	AT4G13940.3
BGPG_11243_c0_g1	AT4G34730.3
BGPG_11243_c0_g2	AT4G34730.3
BGPG_11244_c0_g2	AT1G60950.1
BGPG_11246_c0_g2	AT3G29180.3
BGPG_11251_c0_g2	AT5G05400.1
BGPG_11256_c0_g1	AT3G04760.1
BGPG_11257_c0_g2	AT3G46610.2
BGPG_11260_c0_g2	AT1G51440.1
BGPG_11263_c0_g1	AT3G56180.2
BGPG_11265_c0_g2	AT5G07330.1
BGPG_11266_c0_g2	AT3G51895.2
BGPG_11272_c0_g1	AT1G15360.2
BGPG_11272_c0_g2	AT1G15360.2
BGPG_11273_c0_g1	AT3G61850.5
BGPG_11277_c0_g1	AT5G43730.5
BGPG_11278_c0_g1	AT5G02500.2
BGPG_11280_c0_g1	AT2G39700.1
BGPG_11281_c0_g1	AT4G03965.1
BGPG_11285_c0_g1	AT4G17690.1
BGPG_11287_c0_g1	AT1G09750.1
BGPG_11293_c0_g1	AT5G14210.1
BGPG_11294_c0_g2	AT1G20696.2
BGPG_11295_c0_g1	AT3G47670.1
BGPG_11296_c0_g1	AT1G64780.1
BGPG_11306_c0_g2	AT3G49142.1
BGPG_11308_c0_g1	AT5G38710.1
BGPG_11312_c0_g1	AT1G67230.1
BGPG_11313_c0_g1	AT5G59830.3
BGPG_11315_c0_g1	AT4G36550.1
BGPG_11322_c0_g1	AT4G17560.1
BGPG_11323_c0_g1	AT5G20110.2
BGPG_11324_c0_g1	AT1G08080.1
BGPG_11325_c0_g2	AT4G33467.2
BGPG_11326_c0_g1	AT2G05170.1
BGPG_11330_c0_g1	AT4G20050.5
BGPG_11331_c0_g1	AT3G05990.1
BGPG_11332_c0_g1	AT5G14880.1
BGPG_11338_c0_g2	AT1G77700.2
BGPG_11339_c0_g1	AT1G22990.1
BGPG_11339_c0_g2	AT1G22990.1
BGPG_11341_c0_g1	AT5G63930.2
BGPG_11342_c0_g1	AT5G42630.1
BGPG_11345_c0_g3	AT4G24580.2
BGPG_11348_c0_g1	AT5G20250.4
BGPG_11351_c0_g1	AT5G60710.1
BGPG_11352_c0_g2	AT5G25190.1
BGPG_11356_c0_g2	AT3G07800.1
BGPG_11361_c0_g2	AT2G32760.3
BGPG_11362_c0_g2	AT5G51750.1
BGPG_11367_c0_g1	AT3G23250.1
BGPG_11368_c0_g1	AT3G17860.1
BGPG_11370_c0_g1	AT5G20230.1
BGPG_11371_c0_g1	AT3G05170.1
BGPG_11384_c0_g1	AT5G60930.2
BGPG_11385_c0_g1	AT3G19240.1
BGPG_11388_c0_g1	AT3G50940.1
BGPG_11391_c1_g1	ATCG00190.1
BGPG_11393_c0_g1	AT4G36910.1
BGPG_11395_c0_g1	AT2G23620.1
BGPG_11395_c0_g3	AT2G23620.1
BGPG_11396_c0_g1	AT3G30390.3
BGPG_11400_c0_g1	AT4G16160.2
BGPG_11402_c0_g2	AT3G10980.1
BGPG_11409_c0_g2	AT1G30760.1
BGPG_11422_c0_g2	AT2G29530.2
BGPG_11423_c0_g1	AT2G43990.1
BGPG_11423_c0_g3	AT2G43990.1
BGPG_11424_c0_g1	AT1G79570.5
BGPG_11424_c0_g2	AT1G16270.3
BGPG_11425_c1_g1	AT5G07310.1
BGPG_11426_c0_g4	AT1G24170.1
BGPG_11431_c0_g2	AT1G66890.1
BGPG_11433_c0_g1	AT1G73880.1
BGPG_11434_c0_g2	AT5G60440.1
BGPG_1144_c0_g1	AT3G13750.1
BGPG_11443_c0_g1	AT1G30040.2
BGPG_11446_c0_g1	AT5G23960.2
BGPG_11447_c0_g2	AT3G07040.1
BGPG_11452_c0_g1	AT3G13898.1
BGPG_11454_c0_g1	AT1G50620.1
BGPG_11456_c0_g1	AT5G64480.1
BGPG_11457_c0_g1	AT1G71980.1
BGPG_11463_c0_g1	AT2G26590.3
BGPG_1147_c0_g3	AT4G34555.1
BGPG_11471_c0_g1	AT5G43150.1
BGPG_11472_c0_g1	AT4G02280.1
BGPG_11473_c0_g1	AT2G17210.1
BGPG_11477_c0_g1	AT3G09830.3
BGPG_11480_c0_g1	AT5G17460.5
BGPG_11482_c0_g1	AT5G51910.2
BGPG_11482_c0_g2	AT5G51910.2
BGPG_11486_c0_g1	AT2G26640.1
BGPG_11486_c0_g2	AT2G26640.1
BGPG_11487_c0_g3	AT3G24350.1
BGPG_11490_c0_g1	AT5G03620.2
BGPG_11492_c0_g2	AT4G13200.1
BGPG_11492_c0_g3	AT4G13200.1
BGPG_11500_c0_g1	AT4G02670.1
BGPG_11502_c0_g1	AT3G12020.3
BGPG_11504_c0_g4	AT2G21390.1
BGPG_11505_c0_g1	AT3G29200.1
BGPG_11516_c0_g2	AT2G38700.1
BGPG_11517_c0_g2	AT1G60070.1
BGPG_11518_c0_g1	AT1G31814.1
BGPG_11518_c0_g2	AT1G31814.1
BGPG_11521_c0_g1	AT4G20330.1
BGPG_11523_c0_g1	AT3G09640.2
BGPG_11530_c0_g1	AT4G02780.1
BGPG_11534_c0_g1	AT2G36490.1
BGPG_11535_c0_g1	AT1G62870.1
BGPG_11536_c0_g1	AT5G40460.1
BGPG_11536_c0_g2	AT5G40460.1
BGPG_11538_c0_g1	AT1G03400.2
BGPG_11539_c0_g1	AT4G27745.4
BGPG_11542_c0_g1	AT5G08780.1
BGPG_11542_c0_g2	AT5G08780.1
BGPG_11543_c0_g3	AT3G26720.4
BGPG_11555_c0_g1	AT4G35160.1
BGPG_11556_c0_g1	AT1G72230.1
BGPG_11565_c0_g2	AT2G05100.1
BGPG_11567_c0_g1	AT1G04840.1
BGPG_11569_c0_g1	AT2G42210.2
BGPG_11571_c0_g1	AT5G66050.2
BGPG_11573_c0_g1	AT5G49510.2
BGPG_11574_c0_g1	AT2G37650.2
BGPG_11575_c0_g1	AT2G45970.1
BGPG_11579_c0_g3	AT1G04340.1
BGPG_11583_c0_g2	AT1G32730.1
BGPG_11587_c0_g1	AT4G09320.1
BGPG_11588_c0_g1	AT4G09320.1
BGPG_11592_c0_g2	AT5G38610.1
BGPG_11595_c0_g1	AT3G20050.1
BGPG_11596_c0_g2	AT3G29170.2
BGPG_11598_c0_g1	AT5G26600.2
BGPG_11607_c0_g1	AT3G04530.1
BGPG_11611_c0_g1	AT3G54450.1
BGPG_11616_c0_g1	AT3G23550.1
BGPG_11617_c0_g1	AT5G05840.1
BGPG_11619_c0_g2	AT3G46920.2
BGPG_11621_c0_g1	AT3G13682.1
BGPG_11622_c0_g1	AT3G06270.1
BGPG_11629_c1_g1	AT4G15490.1
BGPG_11630_c0_g2	AT1G73620.1
BGPG_11633_c0_g3	AT3G11150.1
BGPG_11642_c0_g1	AT2G28710.1
BGPG_11644_c0_g2	AT2G02980.1
BGPG_11645_c0_g1	AT5G49480.1
BGPG_11652_c0_g1	AT4G12010.1
BGPG_11653_c0_g1	AT2G37320.1
BGPG_11654_c0_g1	AT2G29680.2
BGPG_11656_c0_g1	AT3G30530.1
BGPG_1166_c0_g1	AT3G22660.1
BGPG_11660_c0_g1	AT1G67750.1
BGPG_11663_c0_g2	AT5G50810.1
BGPG_11663_c0_g3	AT5G50810.1
